1	2	1	2	2	1	2	1	1	0	1	0
1	4	9	7	7	6	3	8	7	12	9	0
0	3	7	11	5	8	7	10	9	9	3	1
1	2	8	6	6	5	8	5	6	8	1	1
2	4	11	7	6	5	6	8	8	8	4	1
2	4	9	7	4	5	7	8	7	6	4	1
4	1	8	13	26	8	20	16	12	11	4	2
0	1	1	1	1	1	2	1	1	2	0	0
1	1	3	7	10	6	4	12	12	8	1	3
3	5	8	2	4	5	7	9	7	7	5	0
2	3	6	5	6	3	7	7	6	6	1	0
8	11	5	9	7	10	15	24	6	9	0	0
0	2	2	3	1	1	9	16	2	3	1	1
3	6	10	10	9	9	11	17	10	8	7	6
0	4	7	14	19	9	17	15	7	9	3	4
5	6	12	15	16	13	26	20	18	19	17	13
0	1	0	3	3	5	16	9	10	0	0	0
0	7	5	11	11	9	12	16	9	10	2	0
3	4	8	11	9	12	2	10	14	15	6	0
1	2	5	13	15	9	8	16	12	11	6	1
0	11	7	12	9	3	14	13	8	7	3	2
2	5	9	11	8	12	11	9	11	15	4	1
0	0	0	4	1	0	10	7	1	3	0	0
3	0	2	13	12	9	11	17	9	10	3	0
4	13	12	6	10	10	7	9	8	6	5	1
9	9	3	4	3	12	16	19	10	9	10	9
1	6	11	9	18	8	28	15	12	11	4	0
1	3	8	8	8	12	7	8	6	7	5	1
4	7	15	19	15	19	21	13	12	11	1	0
1	2	5	8	7	10	13	13	13	6	1	1
1	0	8	8	4	9	10	9	10	7	7	10
1	0	12	9	8	9	10	11	10	12	5	1
0	1	6	9	7	6	10	11	17	3	0	0
4	1	6	5	14	7	6	7	7	6	4	1
2	2	8	26	6	13	12	11	10	12	2	1
17	10	2	10	12	12	13	26	17	15	10	13
4	5	3	4	3	4	12	12	8	4	0	2
0	1	2	6	9	10	17	44	40	5	0	0
0	0	0	4	7	9	16	13	13	2	0	0
1	1	0	10	11	9	19	16	7	10	1	0
4	0	0	1	0	4	2	4	2	1	2	0
1	3	8	12	9	9	6	9	9	9	6	2
2	2	12	13	11	11	12	12	10	16	4	5
2	1	4	10	8	7	14	11	8	6	9	1
2	6	6	9	10	8	13	8	9	7	7	7
4	4	11	11	9	14	17	13	9	12	4	0
0	0	2	10	3	12	21	22	6	12	5	0
1	0	4	14	15	14	23	14	14	10	3	0
2	0	3	13	4	2	5	16	20	1	0	0
10	5	15	13	16	19	10	28	21	12	4	1
0	0	2	4	4	0	2	0	5	6	0	0
1	1	3	12	9	9	11	12	10	10	3	1
0	0	1	1	6	8	12	8	8	0	0	0
3	0	11	13	12	10	17	14	9	12	4	0
3	5	11	12	7	4	21	18	9	11	30	27
6	7	10	12	10	13	13	16	19	14	10	8
6	5	6	10	12	9	7	12	14	8	3	0
3	2	0	7	2	12	18	12	6	5	4	0
1	1	8	9	7	9	19	12	18	18	1	2
2	2	9	7	13	10	14	15	9	8	3	4
2	1	7	16	12	8	11	12	11	8	2	2
0	0	2	0	0	12	16	15	6	1	1	1
3	5	4	11	11	11	19	10	9	11	10	3
4	8	8	9	9	5	7	10	4	4	5	0
5	4	10	14	19	25	13	19	10	16	3	4
0	5	7	8	14	10	14	15	10	11	1	3
10	7	11	15	14	13	19	12	14	24	22	19
3	4	7	9	11	7	11	10	6	9	6	2
0	0	0	3	0	1	2	3	2	3	0	0
2	4	6	14	10	15	17	13	14	11	0	3
0	0	0	8	0	2	9	12	7	1	0	0
2	8	7	14	9	11	13	13	8	10	1	6
0	2	0	1	0	2	8	7	0	0	0	0
3	0	2	9	10	12	11	20	10	12	2	0
1	0	1	1	1	0	2	5	3	1	1	0
4	5	6	12	13	8	9	15	10	7	2	6
10	2	1	5	0	14	13	16	5	4	0	0
3	4	6	8	9	6	9	13	13	10	5	1
2	4	7	14	8	9	16	10	9	9	3	10
2	3	6	13	9	8	15	11	10	8	2	2
